StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q15,Q17,Q18,Q19,SC0,DeviceIdentifier,workerId,assignmentId,hitId,FL_24_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"50 States, D.C. and Puerto Rico",What is your gender?,What is your age?,I identify my ethnicity as:,"Generally speaking, do you consider yourself a Republican, Democrat, Independent, or something else?",What is the highest level of school you have completed or the highest degree you have received?,Have you or anyone you know been sick from COVID-19?,Have you or anyone you know been hospitalized due to COVID-19?,Has anyone you know died from COVID-19?,I trust that the information in these data visualization is accurate.,I trust that the information presented in the data visualization is accurate.,How concerned are you about the spread of COVID-19 virus in the US?,Which statement is closest to your viewpoint on COVID-19 deaths in the US?,Score,DeviceIdentifier,workerId,assignmentId,hitId,FL_24 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID59_BROWSER""}","{""ImportId"":""QID59_VERSION""}","{""ImportId"":""QID59_OS""}","{""ImportId"":""QID59_RESOLUTION""}","{""ImportId"":""QID28""}","{""ImportId"":""QID38""}","{""ImportId"":""QID15""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36""}","{""ImportId"":""QID18""}","{""ImportId"":""QID40""}","{""ImportId"":""QID39""}","{""ImportId"":""QID55""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""SC_bedNaQS7fNdAZSt""}","{""ImportId"":""DeviceIdentifier""}","{""ImportId"":""workerId""}","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""FL_24_DO""}"
2020-07-14 06:26:18,2020-07-14 06:27:41,0,49.33.180.149,100,82,1,2020-07-14 06:27:42,R_a3QWHwe6Q7RjLZn,,,,,19.074798583984375,72.8856048583984375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 6.2,1366x768,33,2,2,3,1,5,2,2,2,,1,2,1,56,,,,,DataVisualization(Control)
2020-07-14 17:56:30,2020-07-14 17:57:27,0,99.75.53.174,100,57,1,2020-07-14 17:57:28,R_2rxwdiMwKVzV34g,,,,,41.9777984619140625,-88.2017974853515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1920x1080,14,1,2,1,3,4,2,2,2,,1,4,3,39,,A17TKHT8FEVH0R,3HFNH7HEMHEYQYGD1E3IA7C4W14QGF,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Control)
2020-07-14 17:56:38,2020-07-14 17:57:40,0,74.197.53.90,100,62,1,2020-07-14 17:57:41,R_D7SpnD9I3Kry82R,,,,,31.4795074462890625,-100.4850006103515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1366x768,45,1,3,2,2,6,1,1,1,,1,2,1,66,,AXA3QKI6F3JL9,3M81GAB8A0J2ZH82LSB49WL7GOCQBY,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Control)
2020-07-14 17:56:37,2020-07-14 17:58:11,0,172.220.225.162,100,93,1,2020-07-14 17:58:11,R_w1s72bv4vgP14Pv,,,,,35.583099365234375,-78.7881011962890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.119,CrOS armv7l 13020.87.0,1366x768,34,1,2,3,2,2,1,2,2,,1,3,3,56,,A2WYUG5PTNXZNT,3II4UPYCOJ7VEE6MZO2A4M97J9ODQS,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Control)
2020-07-14 17:56:38,2020-07-14 17:58:32,0,104.35.170.65,100,114,1,2020-07-14 17:58:33,R_ByQl0DnsvAOqwP7,,,,,34.1483001708984375,-118.0016021728515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Firefox,78.0,Macintosh,1200x750,5,2,5,3,1,2,2,2,2,2,,1,1,28,,A19L8SNH73AX1Z,3SBEHTYCWN3LVRDUICKF85SMANDIY2,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Treatment)
2020-07-14 17:56:43,2020-07-14 17:58:42,0,99.69.217.40,100,118,1,2020-07-14 17:58:42,R_3jVydGgmOqNaqMe,,,,,32.7978973388671875,-97.3585968017578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Firefox,78.0,Windows NT 10.0,1280x720,45,2,5,3,1,5,1,2,2,1,,4,3,74,,A1EYZMB3YBRENX,3L2IS5HSFAIWSJ4G5R0IASIQ0YWNUP,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Treatment)
2020-07-14 17:56:39,2020-07-14 17:59:01,0,71.182.225.191,100,142,1,2020-07-14 17:59:02,R_bC8elBj4qjE8ICJ,,,,,40.53790283203125,-79.964202880859375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1360x768,39,1,5,3,1,4,2,2,2,1,,3,3,66,,A12OZ7P7Z41SJI,3JWH6J9I9SDHWKVA50JN52Q2BDPBNW,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Treatment)
2020-07-14 17:57:10,2020-07-14 17:59:10,0,45.51.5.215,100,120,1,2020-07-14 17:59:10,R_Tw4K0nG6GPGGLCh,,,,,33.78729248046875,-117.923095703125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1600x900,5,1,3,4,2,5,1,2,2,,1,4,3,33,,A3EC3OP6U52JYC,3MD9PLUKKIEDEIYQBEZQRKX52GBNZE,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Control)
2020-07-14 17:57:56,2020-07-14 17:59:26,0,74.110.120.24,100,89,1,2020-07-14 17:59:26,R_2PhFlkDaw4rL88J,,,,,36.796905517578125,-76.1797027587890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1280x720,48,2,4,3,2,2,2,2,2,,1,3,3,74,,A2POU9TTW177VH,3Y5140Z9DXGRMDLTRPOWVEZA6IAIP8,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Control)
2020-07-14 17:57:36,2020-07-14 17:59:28,0,24.211.141.175,100,112,1,2020-07-14 17:59:28,R_3hoMgOSyMlnohS1,,,,,35.91510009765625,-79.097198486328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,72.0.3626.122,CrOS x86_64 11316.165.0,1366x768,34,2,4,3,2,5,2,2,2,,1,4,3,64,,A34LSCB90T5KYE,3FTOP5WARFOKT71FSMU6SED2BPNJ0E,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Control)
2020-07-14 17:58:16,2020-07-14 17:59:41,0,69.136.184.77,100,84,1,2020-07-14 17:59:41,R_0xn7ulgAe0OlJrX,,,,,41.7790069580078125,-87.778900146484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 6.3,1366x768,14,1,2,3,1,6,2,2,2,,1,2,1,37,,A3NIHW3T72PHDW,3RANCT1ZVFHURAFJ21V9JXIWJ9IBUO,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Control)
2020-07-14 17:58:54,2020-07-14 18:00:02,0,72.182.160.80,100,68,1,2020-07-14 18:00:03,R_29cvwdnmOBvEi3F,,,,,32.6609039306640625,-97.03420257568359375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.97,Windows NT 10.0,1600x900,45,1,3,3,1,4,2,2,2,1,,3,3,70,,A2WYCY1FMQOD5F,3GS6S824SQX9KNTL0RFJSG3NLE7NWO,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Treatment)
2020-07-14 17:56:58,2020-07-14 18:00:51,0,67.235.215.139,100,232,1,2020-07-14 18:00:51,R_27VAmQAIz7406me,,,,,28.7115020751953125,-81.51349639892578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1366x768,10,1,4,3,2,4,1,2,2,1,,2,2,34,,A2OS3NGWKOM69E,34J10VATJFYCMPM8R23LVJPKBEWQI7,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Treatment)
2020-07-14 17:57:58,2020-07-14 18:00:57,0,66.108.70.186,100,178,1,2020-07-14 18:00:57,R_3xAkqf0gnkTSHQJ,,,,,40.7032928466796875,-73.803802490234375,anonymous,EN,,Chrome,83.0.4103.116,Windows NT 6.3,1364x768,7,1,2,3,2,5,2,2,2,1,,2,2,31,,A2T4O1BZ9M80CK,3S4AW7T80BI7NL7GE8TLKWG7WQ94LI,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Treatment)
2020-07-14 17:58:09,2020-07-14 18:01:34,0,65.220.84.225,100,204,1,2020-07-14 18:01:34,R_1jB8ssmlqEegUi6,,,,,38.7332000732421875,-77.54949951171875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,47.0.2526.106,Macintosh,1366x768,33,2,2,5,1,5,1,1,2,,1,4,3,60,,A1CWPABG4N0TTD,3WZ36BJEV3GFRX0U2W5ZE1WU0VBBTX,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Control)
