StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q15,Q17,Q18,Q19,SC0,DeviceIdentifier,workerId,assignmentId,hitId
7/25/20 11:25,7/25/20 11:26,0,75.65.195.163,100,68,1,7/25/20 11:26,R_2AWgn9LxYGrk7Zm,,,,,32.46989441,-90.11019897,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,25,1,3,3,2,5,2,2,2,,1,4,3,53,,A2J1MW8827JOOP,39O5D9O87TST2LU61HV378YEQCG3CP,3U18MJKL1UMXK5PMSXAGS20XPRYNCO
7/25/20 11:25,7/25/20 11:26,0,68.55.40.37,100,72,1,7/25/20 11:26,R_3lY33dbrpmMwCpl,,,,,42.3757019,-85.44470215,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,23,2,2,3,2,5,1,2,2,,1,3,3,49,,AY8RUNA6UEJWR,336KAV9KYQSHK6ZST9ZNLPL5NMXY2G,3IVKZBIBJ09LHQS7ML532N7JPIBSHE
7/25/20 11:24,7/25/20 11:26,0,73.240.204.110,100,147,1,7/25/20 11:26,R_R3tb3s9CsFIp4at,,,,,45.31019592,-122.9669952,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1200,38,2,2,3,3,5,2,2,2,1,,3,3,66,,A3T8THFPERMABH,3FTYUGLFSUL6LSNOFWE76BEGP8J5DH,3NOEP8XAU42LQOCUZ8JVA4Q2QONXPW
7/25/20 11:25,7/25/20 11:27,0,107.77.227.224,100,83,1,7/25/20 11:27,R_6RytQ60qq05yJRD,,,,,33.82249451,-118.3103027,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,3,1,3,3,2,3,1,1,2,,1,4,3,27,,A1GZCLBFBKWFEZ,3LRLIPTPEQ9B545F29RBIZPS1VHAK5,3LAZVA75NIR248XWWJLNVERG3AR2OA
7/25/20 11:26,7/25/20 11:27,0,73.94.1.1,100,76,1,7/25/20 11:27,R_2qDa25A3eThltyV,,,,,44.99850464,-93.30290222,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1280x720,22,2,2,1,2,5,1,1,1,,1,4,3,45,,A30HB9YQHJ8UUJ,3S06PH7KSR47XAM5E9CV3L1ZDSE1DV,3DGDV62G7O9KP89XBJY2KEW6DFN2PR
7/25/20 11:25,7/25/20 11:28,0,174.85.211.174,100,171,1,7/25/20 11:28,R_1C9eUjlEweqSZp5,,,,,34.80299377,-86.9713974,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1920x1080,44,1,3,3,2,5,1,2,2,1,,3,3,70,,AZ3V43619QGJX,37C0GNLMHF324WN2KFOCYHSGL3UD65,3NCN4N1H1GHEA0XGEXELHIUF76YNBH
7/25/20 11:24,7/25/20 11:28,0,174.250.16.10,100,207,1,7/25/20 11:28,R_29stdfrnt78ExQR,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1280x800,21,1,3,2,3,5,1,2,2,1,,3,3,47,,A2QLP4ES7K69X0,34MAJL3QP4NQ7HHR82PLOAMQYZZ34C,3B0MCRZMBRUGHFA3DH9EGR4ZOPEPP0
7/25/20 11:27,7/25/20 11:28,0,107.77.196.168,100,71,1,7/25/20 11:28,R_sccXkgNcJnDoYmt,,,,,32.95689392,-96.83170319,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,45,1,2,1,2,3,2,2,2,,1,4,3,68,,AU0VC8EJF374G,39LOEL67OS5RQI4TK5FY5M2V0LV38J,34R0BODSP1Z8RE3UKOKPO90EJIC5EA
7/25/20 11:25,7/25/20 11:28,0,67.173.170.71,100,185,1,7/25/20 11:28,R_2c0nJOGckg1ZA2A,,,,,41.7696991,-87.69850159,anonymous,EN,0.9,Safari,12.1,Macintosh,1440x900,14,1,2,4,2,3,1,2,2,1,,2,2,36,,A3NCSVSSLA79MD,3I0BTBYZAXLAOWWEEMV921SQQODY0W,3LAZVA75NIR248XWWJLNVERG3AR2OA
7/25/20 11:27,7/25/20 11:29,0,68.3.172.195,100,111,1,7/25/20 11:29,R_3R9ndYEzEnHL88l,,,,,33.60800171,-111.7232971,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,3,1,6,3,1,3,1,2,2,,1,4,3,30,,A10MOGV24YO346,3MB8LZR5BFTS1NWJZ0G1RD53V7GLKY,36AZSFEYZ40RI56PGO0CRZOST90VB6
7/25/20 11:29,7/25/20 11:29,0,138.88.2.24,100,6,1,7/25/20 11:29,R_1Ej0VQmeEtwE6fj,,,,,38.84759521,-77.32810211,anonymous,EN,0.9,Safari iPhone,13.1.1,iPhone,375x667,,,,,,,,,,,,,,,,AMZZ3D0GQ55KD,3X73LLYYQ1ERNXYW5STJRDT08LCHNS,35YHTYFL1G3HVMI5LQM8APFD87SVFO
7/25/20 11:27,7/25/20 11:29,0,73.121.157.196,100,141,1,7/25/20 11:29,R_8iTeRj87xLH0Idb,,,,,36.04989624,-83.92279816,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1440x900,44,1,3,3,1,5,1,1,2,,1,2,1,65,,A2ARBS1CHRQFNL,3WOKGM4L71GYUISC8ZMB0AUOCEFO0C,3U18MJKL1UMXK5PMSXAGS20XPRYNCO
7/25/20 11:24,7/25/20 11:29,0,68.80.239.243,100,322,1,7/25/20 11:29,R_Xz7TvykA8WZWEW5,,,,,40.26260376,-75.61509705,anonymous,EN,0.7,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,39,2,6,2,2,3,1,1,1,1,,4,3,65,,A2H557RQ3T3LPX,3EFE17QCRC5O3AQ1DOA5Q736VKJSHE,3UOMW19E6D6TUGJGOXEUYL0BY6Z5CH
7/25/20 11:26,7/25/20 11:30,0,75.24.111.36,100,189,1,7/25/20 11:30,R_294YsDrEulcD6nJ,,,,,33.85740662,-84.01300049,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,11,2,2,3,3,3,1,2,2,1,,4,3,37,,A38A6G8D4OYWA7,3UNH76FOCS57RA3L3RI70YZ3TREYM7,35YHTYFL1G3HVMI5LQM8APFD87SVFO
7/25/20 11:24,7/25/20 11:30,0,67.234.9.148,100,318,1,7/25/20 11:30,R_1jKhU00PWD0Bfar,,,,,40.20159912,-78.42980194,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,48,2,3,3,1,5,2,2,2,,1,1,1,71,,AT5YJD7SRZ8JG,3TS1AR6UQQEI6GF3UVOUSVVXSRU7F9,3ZRKL6Z1E837HUXW2FNLHNVIAIYSGF
7/25/20 11:26,7/25/20 11:30,0,67.221.42.57,100,242,1,7/25/20 11:30,R_1q4Vd9wBLRyagcj,,,,,37.11610413,-85.26560211,anonymous,EN,0.9,Chrome,83.0.4103.116,Macintosh,1280x800,18,1,3,3,2,7,1,2,2,1,,4,3,47,,A1EQ60VAICF0S7,39LNWE0K4UW4EITP8BNQ5KM9GUKIUE,36AZSFEYZ40RI56PGO0CRZOST90VB6
7/25/20 11:26,7/25/20 11:30,0,100.7.124.86,100,240,1,7/25/20 11:30,R_UrWhi4N6ZsJpNRf,,,,,37.43099976,-77.65540314,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,48,2,5,3,2,4,1,1,1,,1,4,3,75,,A2RLOB9VH2XSRT,3L6L49WXW0XTLW4VMLDE37KACVQ453,33TGB4G0LPHJIG51GPSFFERZFR8XT1
7/25/20 11:27,7/25/20 11:30,0,70.106.232.122,100,151,1,7/25/20 11:30,R_2qmvIwI1jxZloi1,,,,,39.01800537,-77.53900146,anonymous,EN,0.9,Chrome,83.0.4103.116,Macintosh,1280x800,48,2,1,3,2,3,1,1,1,1,,4,3,70,,A2VFFFRNHB2IIT,3NLZY2D53PPECQUEC50YNZHCUD8LQQ,33TGB4G0LPHJIG51GPSFFERZFR8XT1
7/25/20 11:29,7/25/20 11:30,0,161.77.225.72,100,70,1,7/25/20 11:30,R_3pu4roLGPuEeXUT,,,,,42.48199463,-72.4213028,anonymous,EN,0.9,Chrome,83.0.4103.119,CrOS x86_64 13020.87.0,1920x1080,22,2,2,3,2,3,2,2,2,,1,4,3,48,,A232423E947IW6,3Z7VU45IPYHA0BR16R1SUDK21AOZ1S,3JUDR1D0D6R5PKACBWDRKJMGIB92QI
7/25/20 11:28,7/25/20 11:30,0,172.73.8.42,100,133,1,7/25/20 11:30,R_1Iplyf6dY8e6LbJ,,,,,35.31930542,-80.74559784,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,34,1,2,"3,4",3,5,1,2,2,,1,2,1,61,,AICQCMWNGVOPH,3T3IWE1XG6N2V32JLE2P9QRTOQUTQ1,3GITHABACYLKMNXKV4LAGPRBD0M2NV
7/25/20 11:29,7/25/20 11:31,0,24.16.132.96,100,85,1,7/25/20 11:31,R_2q3lyY4c7Y5HXSN,,,,,47.61309814,-122.2052994,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,49,2,2,7,2,3,1,2,2,,1,4,2,77,,AR16I4VK5QBYQ,3X0H8UUIT1O600LQ8NW5RADTA8XWSJ,34R0BODSP1Z8RE3UKOKPO90EJIC5EA
7/25/20 11:27,7/25/20 11:31,0,98.28.17.119,100,233,1,7/25/20 11:31,R_2vjiL2x0alko2O6,,,,,39.92750549,-82.00319672,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,36,2,2,2,2,3,2,1,2,1,,2,3,58,,A1T8FH3RZ34PEI,3O7L7BFSHEPNPMW3IB8L1206U6QEIT,32K26U12DNOKX249UKRIMPCSWUCVDD
7/25/20 11:28,7/25/20 11:31,0,24.12.176.73,100,163,1,7/25/20 11:31,R_2rpiuGb7WDlNQsa,,,,,41.92300415,-87.75309753,anonymous,EN,0.7,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,14,1,3,1,2,5,2,2,2,,1,4,3,40,,A3VYBAO7UQQHGC,31N2WW6R9RQ05XEGSJL4FEJHNP8F3C,3JUDR1D0D6R5PKACBWDRKJMGIB92QI
7/25/20 11:26,7/25/20 11:31,0,68.83.243.176,100,341,1,7/25/20 11:31,R_wXVVq7OCZAoAbpn,,,,,39.92059326,-75.18260193,anonymous,EN,0.9,Chrome,83.0.4103.119,CrOS x86_64 13020.87.0,1366x768,39,2,2,2,2,4,2,2,2,1,,4,3,65,,AOD6E2HKZ3QCN,369J354OFDA5GGXTM5PK42VDYVA6G8,34R0BODSP1Z8RE3UKOKPO90EJIC5EA
7/25/20 11:30,7/25/20 11:32,0,68.48.99.159,100,110,1,7/25/20 11:32,R_2wLadNsbOmjR9Mv,,,,,42.65840149,-83.23639679,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,51,1,2,3,2,5,1,2,2,1,,4,3,77,,A1LLXAJTPN2H7V,3QUO65DNQUOEA44S660VPHIVS3JUOL,35YHTYFL1G3HVMI5LQM8APFD87SVFO
7/25/20 11:31,7/25/20 11:32,0,70.160.117.97,100,69,1,7/25/20 11:32,R_1GC9i3sYwAWTvg8,,,,,36.88819885,-76.30020142,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1600x900,48,2,2,3,2,3,2,2,2,,1,4,3,74,,A3IRHO9RKEV0L7,3II4UPYCOJ7VEE6MZO2A4M97L46QDF,3NCN4N1H1GHEA0XGEXELHIUF76YNBH
7/25/20 11:30,7/25/20 11:32,0,73.79.228.173,100,104,1,7/25/20 11:32,R_2zSiweSQeUpchMv,,,,,40.47250366,-79.9108963,anonymous,EN,0.9,Firefox,78,Windows NT 6.1,1366x768,39,1,4,3,3,4,2,2,2,,1,2,2,65,,AER5W2E21EHLD,3J88R45B2GYOC8AOQBOXYOMPWQWXPX,3IVKZBIBJ09LHQS7ML532N7JPIBSHE
7/25/20 11:29,7/25/20 11:32,0,23.111.188.5,100,200,1,7/25/20 11:32,R_4ZmKPuJzsA9phe1,,,,,32.94439697,-97.31189728,anonymous,EN,0.9,Chrome,81.0.4044.92,Windows NT 10.0,1366x768,23,2,2,2,1,5,2,2,2,1,,2,1,45,,A2FNZ7OK0KTKX1,3EICBYG644W4NZWV42NQNFF3M92CJA,3J94SKDEKIP3Z8PUOT95IRITJ6B5DH
7/25/20 11:30,7/25/20 11:32,0,73.155.133.27,100,110,1,7/25/20 11:32,R_5vy6CuH8soskkcp,,,,,29.94299316,-95.25959778,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1280x800,45,1,2,2,3,4,1,2,2,1,,2,3,68,,A2NUGRVI6IEGN7,3W92K5RLWUHSF9NA6HE1CXKNPFNV56,3JUDR1D0D6R5PKACBWDRKJMGIB92QI
7/25/20 11:29,7/25/20 11:33,0,73.84.51.196,100,250,1,7/25/20 11:33,R_WclmkFXEsuc9Ybv,,,,,26.01620483,-80.19550323,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1280x720,10,1,5,3,3,5,2,2,2,1,,2,2,38,,A1K4NWMRGD2VE0,3LQ8PUHQFLSZ9WN58CGRM5XJMMIHIC,3NCN4N1H1GHEA0XGEXELHIUF76YNBH
